,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
76,egyek,90.0,HU,2019-01-13,86.0,47.63,20.89,33.8,13.87
77,mokolo,8.0,CM,2019-01-13,38.0,10.74,13.8,62.92,5.41
78,pangnirtung,90.0,CA,2019-01-13,75.0,66.15,-65.72,-18.41,3.36
79,riberalta,75.0,BO,2019-01-13,70.0,-11.0,-66.08,86.0,3.29
80,butaritari,68.0,KI,2019-01-13,100.0,3.07,172.79,82.36,15.82
81,roblin,8.0,CA,2019-01-13,88.0,51.23,-101.35,17.79,3.62
82,marzuq,0.0,YE,2019-01-13,83.0,14.4,46.47,40.33,2.28
83,kapaa,75.0,US,2019-01-13,62.0,22.08,-159.32,78.98,11.41
84,richards bay,12.0,ZA,2019-01-13,81.0,-28.77,32.06,74.89,9.78
85,airai,48.0,TL,2019-01-13,89.0,-8.93,125.41,69.54,1.5
86,bulgan,0.0,MN,2019-01-13,52.0,48.81,103.53,-12.5,7.31
87,dicabisagan,92.0,PH,2019-01-13,100.0,17.08,122.42,73.5,10.22
88,datong,0.0,CN,2019-01-13,54.0,40.09,113.3,1.0,2.73
89,townsville,40.0,AU,2019-01-13,69.0,-19.26,146.82,80.6,11.41
90,ribeira grande,75.0,PT,2019-01-13,72.0,38.52,-28.7,60.8,9.17
91,santa vitoria,68.0,BR,2019-01-13,80.0,-7.82,-67.03,82.59,3.62
92,faanui,80.0,PF,2019-01-13,100.0,-16.48,-151.75,82.45,15.48
93,bonavista,44.0,CA,2019-01-13,100.0,48.65,-53.11,26.2,23.42
94,malabo,0.0,CD,2019-01-13,50.0,1.56,30.43,60.13,3.85
95,apomu,12.0,NG,2019-01-13,88.0,6.85,3.21,82.4,2.24
96,muisne,90.0,EC,2019-01-13,94.0,0.61,-80.02,77.0,4.7
97,bambous virieux,40.0,MU,2019-01-13,74.0,-20.34,57.76,78.8,11.41
98,birao,12.0,CF,2019-01-13,26.0,10.3,22.78,74.49,9.33
99,jiaocheng,80.0,CN,2019-01-13,96.0,24.68,116.14,55.32,2.51
100,ranong,36.0,TH,2019-01-13,100.0,9.96,98.62,79.48,4.52
101,bathsheba,40.0,BB,2019-01-13,65.0,13.22,-59.52,78.8,12.75
102,lasa,40.0,CY,2019-01-13,87.0,34.92,32.53,50.0,3.36
103,ratanpur,0.0,IN,2019-01-13,79.0,23.11,87.07,53.29,2.84
104,beira,75.0,ES,2019-01-13,81.0,43.2,-8.36,50.0,3.18
105,balangir,0.0,IN,2019-01-13,82.0,20.7,83.49,54.69,2.62
106,boueni,92.0,YT,2019-01-13,94.0,-12.9,45.08,78.8,2.24
107,agirish,36.0,RU,2019-01-13,82.0,61.92,63.02,18.6,7.87
108,pauini,68.0,BR,2019-01-13,80.0,-7.71,-67.0,82.59,3.62
109,bogotol,32.0,RU,2019-01-13,62.0,56.21,89.53,-7.55,5.64
110,cabo san lucas,5.0,MX,2019-01-13,53.0,22.89,-109.91,78.8,3.36
111,puerto ayora,75.0,EC,2019-01-13,78.0,-0.74,-90.35,78.8,16.11
112,takaka,68.0,NZ,2019-01-13,100.0,-40.86,172.81,57.43,5.3
113,nyimba,92.0,ZM,2019-01-13,89.0,-14.56,30.81,72.64,3.29
114,codrington,40.0,AU,2019-01-13,78.0,-28.95,153.24,75.2,3.51
115,cartagena del chaira,48.0,CO,2019-01-13,82.0,1.33,-74.84,79.89,2.95
116,punta arenas,40.0,CL,2019-01-13,54.0,-53.16,-70.91,55.4,26.4
117,fonte boa,36.0,BR,2019-01-13,91.0,-2.51,-66.09,79.75,3.85
118,puro,44.0,PH,2019-01-13,91.0,13.13,123.76,73.59,7.65
119,dunedin,0.0,NZ,2019-01-13,85.0,-45.87,170.5,53.34,14.58
120,kruisfontein,92.0,ZA,2019-01-13,89.0,-34.0,24.73,67.06,10.22
121,longyearbyen,20.0,NO,2019-01-13,61.0,78.22,15.63,14.0,21.92
122,nanortalik,64.0,GL,2019-01-13,100.0,60.14,-45.24,26.07,14.81
123,wewak,44.0,PG,2019-01-13,93.0,-3.55,143.63,78.13,4.07
124,puerto escondido,20.0,MX,2019-01-13,70.0,15.86,-97.07,84.2,9.17
125,marabba,8.0,SD,2019-01-13,37.0,12.35,32.18,76.87,10.78
126,moranbah,0.0,AU,2019-01-13,82.0,-22.0,148.04,70.44,11.56
127,saint george,40.0,GR,2019-01-13,86.0,39.45,22.34,33.8,2.73
128,qaanaaq,0.0,GL,2019-01-13,100.0,77.48,-69.36,-25.55,9.78
129,romny,64.0,UA,2019-01-13,91.0,50.74,33.49,25.48,14.25
130,iqaluit,90.0,CA,2019-01-13,76.0,63.75,-68.52,-11.21,3.36
131,motihari,0.0,IN,2019-01-13,84.0,26.65,84.91,50.41,5.19
132,zhob,0.0,PK,2019-01-13,97.0,31.34,69.45,16.62,2.51
133,arraial do cabo,0.0,BR,2019-01-13,74.0,-22.97,-42.02,86.0,14.99
134,mount gambier,0.0,AU,2019-01-13,93.0,-37.83,140.78,59.0,1.12
135,jeremie,48.0,HT,2019-01-13,100.0,18.65,-74.12,75.3,1.39
136,vao,92.0,EE,2019-01-13,98.0,59.1,26.19,27.01,8.77
137,harper,75.0,US,2019-01-13,52.0,30.3,-99.24,56.3,6.93
138,vanavara,48.0,RU,2019-01-13,61.0,60.35,102.28,-21.37,5.97
139,simga,0.0,IN,2019-01-13,94.0,21.63,81.7,64.27,7.2
140,port blair,36.0,IN,2019-01-13,99.0,11.67,92.75,82.95,10.22
141,avarua,40.0,CK,2019-01-13,74.0,-21.21,-159.78,84.2,8.05
142,soma,75.0,JP,2019-01-13,63.0,37.8,140.92,30.2,5.82
143,bystryy istok,0.0,RU,2019-01-13,46.0,52.37,84.39,-7.24,2.28
144,ambilobe,8.0,MG,2019-01-13,92.0,-13.19,49.05,70.03,2.73
145,goundi,12.0,TD,2019-01-13,26.0,9.36,17.37,74.62,9.78
146,gamba,0.0,CN,2019-01-13,52.0,28.28,88.52,0.42,8.99
147,maputo,20.0,MZ,2019-01-13,83.0,-25.97,32.57,82.4,12.75
148,darhan,48.0,MN,2019-01-13,66.0,49.49,105.92,-10.61,2.95
149,flin flon,90.0,CA,2019-01-13,85.0,54.77,-101.88,19.4,8.05
150,preobrazheniye,0.0,RU,2019-01-13,65.0,42.9,133.91,-4.85,1.95
151,margate,0.0,AU,2019-01-13,59.0,-43.03,147.26,64.4,3.36
152,san patricio,56.0,PY,2019-01-13,83.0,-26.98,-56.83,85.51,2.51
153,upernavik,44.0,GL,2019-01-13,100.0,72.79,-56.15,-11.42,7.43
154,port lincoln,0.0,AU,2019-01-13,96.0,-34.72,135.86,65.53,10.0
155,norman wells,75.0,CA,2019-01-13,68.0,65.28,-126.83,-14.81,12.75
156,kaitangata,56.0,NZ,2019-01-13,84.0,-46.28,169.85,55.54,14.7
157,halifax,5.0,CA,2019-01-13,57.0,44.65,-63.58,19.4,9.17
158,alofi,0.0,NU,2019-01-13,70.0,-19.06,-169.92,84.2,10.29
159,monrovia,20.0,LR,2019-01-13,83.0,6.33,-10.8,77.0,8.21
160,uglegorsk,0.0,RU,2019-01-13,87.0,49.08,142.06,-0.49,2.73
161,san juan,20.0,PH,2019-01-13,73.0,14.6,121.03,77.0,3.36
